index	sentence1	sentence2	label
1335	Norwegian police released one of three people arrested when Edvard Munch's painting 'The Scream', stolen from the National Gallery in Oslo, was found.	Norwegian police arrested three people for the theft of Munch's painting, 'The Scream'.	entailment
1337	Interim Palestinian leader, Mahmoud Abbas, has won a landslide victory in Sunday's presidential election and will succeed the late Yasser Arafat.	Mahmoud Abbas has claimed victory in the Palestinian presidential elections, and has dedicated his win to Yasser Arafat, who died in November 2004.	not_entailment
1339	This course helps students pursuing an AOS or AAS degree, gain an understanding of the experiences of Black people from hearing and deaf communities in America.	Deaf people encounter problems in the social community.	not_entailment
1341	Salma Hayek drew a crowd in Veracruz, Mexico, at the July 8 premiere of 'Nobody Writes to the Colonel', a movie based on a short novel by Nobel laureate Gabriel Garcia Marquez.	Gabriel Garcia Marquez is a Nobel prize winner.	entailment
1342	The assassins of former Defense Minister Enrique Lopez Albujar Trint are presumably members of the Maoist terrorist organization, Shining Path, since the counterterrorism division has identified one of them as Gerardo Olivos Silva, through a composite made from witness' reports.	Gerardo Olivos Silva is a member of the Maoist terrorist organization Shining Path.	entailment
1343	A large proportion of young children in Ukraine suffer from various health problems that have probably gone undiagnosed until now, but which are being detected in connection with the Chernobyl disaster. This could well point to a weak health care system and harsh living conditions.	Chernobyl disaster had repercussions outside ex-USSR.	not_entailment
1344	In Johannesburg, about 500 angry AIDS activists, many wearing red and white T-shirts that said "HIV Positive," criticized Bush, saying he had hurt the global fight against AIDS by spending billions of dollars on war.	In Johannesburg, activists complained that Bush spent billions of dollars on the global fight against AIDS instead of on war.	not_entailment
1345	Yunus, who was nominated for the peace prize at least twice before, is the first person from Bangladesh, a country of 147 million, to win a Nobel Prize. His Nobel Prize is a rare bright light in a country struggling to defeat Islamic terrorists, and which is chronically inundated by floods and battered by storms that blow in from the Bay of Bengal. The country, formerly known as East Pakistan, is bordered by the Bay of Bengal, India and Burma.	Yunus is the first person to win a Nobel Prize.	not_entailment
1349	The book contains short stories by the famous Bulgarian writer, Nikolai Haitov.	Nikolai Haitov is a writer.	entailment
1350	Natalya Reshetovskaya, 84, was the first wife of Alexander Solzhenitsyn.	Alexander Solzhenitsyn's wife's name was Natalya Reshetovskaya.	entailment
1355	US Federal Reserve boss, Alan Greenspan, sees increased US trade protectionism and ever-larger budget deficits as the biggest threats to the US economy.	Greenspan also said that bloated trade and budget deficits threaten the long-term health of the U.S. economy.	not_entailment
1356	Parents also had to contribute "much more fully", while "coasting" schools would be tackled, Ms Kelly told MPs. But shadow education secretary David Cameron, who backed some ideas, said other parts were a "complete muddle".	David Cameron works as the shadow education secretary.	entailment
1357	About 30,000 Rolling Stones fans poured into Fenway Park this evening, fortunate to have scored tickets to the kickoff of the band's latest world tour.	The Rolling Stones have begun their latest world tour with a concert in Boston.	entailment
1358	As parties adapt to these new conditions, new definitions - replete with new assumptions about their functions - are likely to shape the ongoing debate about their roles and functions in the 21st century.	Several new political parties emerged.	not_entailment
1361	The Catering JLC formulates pay and conditions proposals of workers in the industry which, if approved by the Labour Court, legally binds employers to pay certain wage rates and provide conditions of employment. However,the QSFA now contends that the JLC has no right to make such a legally binding provision, as Section 15 of the Constitution states that the sole and exclusive power to make laws is vested in the Oireachtas, and no other authority has power to make laws for the State. It also argued that the existence of the minimum wage and 25 other pieces of legislation protecting employees' rights means that there is no need for JLCs. The chairman of the QSFA, John Grace, warned that the situation would lead to job losses and closures.	John Grace works for QSFA.	entailment
1362	Termed "Operation Baylout", the group claims that hundreds of volunteers are taking part in coordinated efforts to jam the websites of the International Federation of the Phonographic Industry and MAQS, a law firm working with the prosecution in the Pirate Bay case. As of Friday evening MAQS's website read "Our website is currently under attack and we have therefore decided to shut it down until the attack ceases."  The group is also coordinating efforts to jam the fax lines of the MPAA's anti-piracy office and of prosecuting attorney Monique Wadsted.  Andrew Norton of Pirate Party International rejected the attacks, saying, "While we can't condone these acts, it does show there is a wealth of feeling that opposes the decisions and actions of this trade body.	MAQS law firm employed hundreds of volunteers.	not_entailment
1363	Movil Access, a Grupo Salinas company, announced today that Gustavo Guzman will appoint Jose Luis Riera as company CFO of Grupo Iusacell.	Movil Access appoints Jose Luis Riera as CFO.	entailment
1365	The drawbacks of legalization do not imply that our current version of prohibition is the optimal drug strategy; it may well be possible to implement prohibition in less harmful ways.	Drug legalization has benefits.	not_entailment
1369	Foreign Ministers of the 16 NATO member countries met early this morning with their Russian counterpart, Yevgeny Primakov, in Berlin in a bid to improve NATO-Russia relations.	The NATO has 16 members.	entailment
1370	Although Schneider's father, Marvin, died of complications from diabetes only two weeks after "Deuce Bigalow" was released, his Filipino mother Pilar continues to live in Pacifica.	Pilar is the mother of Schneider.	entailment
1372	Today, Dmitry Medvedev was named the candidate for President of Russia by the ruling party United Russia, which holds majority in the newly-elected, State Duma, the lower parliament of Russia. Medvedev, who is the current deputy prime minister of the Russian government and the chairman in the board of directors of Gazprom, was also backed by three other parties and by the current president Vladimir Putin. This means the highly anticipated decision about the supposed successor has been announced.	Vladimir Putin does not support Medvedev.	not_entailment
1374	The Republic of Tajikistan, which declared independence from the Soviet Union in 1991, is in a region that has changed hands many times.	The Soviet Union collapsed in 1991.	not_entailment
1378	This document declares the 'irrevocable determination' of Edward VIII to abdicate. By signing this document on December 10th, 1936, he gave up his right to the British throne.	King Edward VIII abdicated on the 10th of December, 1936.	entailment
1380	Martha Stewart, 64, is back, after serving five months in a West Virginia federal prison for lying about a 2001 stock sale.	Martha Stewart was convicted of lying about a stock trade and served five months in prison.	entailment
1382	Romania currently supplies one of the world's largest contingents of troops in Iraq, with nearly 1000 people.	Romania sent 730 troops in Iraq.	not_entailment
1385	Vance used to be Hooper's supervisor, he said, but was let go several months ago.	Vance worked with Hooper.	entailment
1387	A small airplane crashed yesterday in southeast Alaska, killing five and injuring four. Alaska State Troopers spokeswoman Megan Peters said that among the survivors is a two-year-old girl. Ketchikan Public Safety Director Rich Leipfert told the Ketchikan Daily News that three of the injured were transported to hospitals. Leipfert also said that the plane, belonging to SeaWind Aviation, crashed into a tree at Traitors Cove, an area about 25 miles north of Ketchikan.	25 people died in an airplane crash.	not_entailment
1388	The Sears Tower in Chicago, finished in 1974, has 110 stories and is 1,450 feet tall.	The Sears Tower has 110 stories.	entailment
1392	The Mona Lisa, painted by Leonardo da Vinci from 1503-1506, hangs in Paris' Louvre Museum.	The Mona Lisa is in France.	entailment
1394	In that decade, Missouri's Hispanic population grew to 118,000 from about 60,000, he said.	Missouri's population is 118,000.	not_entailment
1395	That police statement reinforced published reports, that eyewitnesses said de Menezes had jumped over the turnstile at Stockwell subway station and was wearing a padded jacket, despite warm weather.	However, the documents leaked to ITV News suggest that Menezes, an electrician, walked casually into the subway station and was wearing a light denim jacket.	not_entailment
1398	Tuesday, famed ocean liner, Queen Elizabeth 2, popularly known as the QE2, arrived in her home port of Southampton, England for the final time. The Cunard Line ship has been in service since 1969, and is to become a floating hotel in Dubai. The homecoming was marred as the vessel ran aground on a sandbank near Calshot at the mouth of Southampton Water. The ship hit the sandbank at around 0530 GMT, and five tugs took around 30 minutes to pull the QE2 clear. The 70,000 tonne vessel was towed into port and eventually docked at 0730 GMT according to the Solent coastguard. Around a thousand crew and 1,700 passengers were aboard the ship, which was returning from a cruise around the Mediterranean.	Elizabeth II is the queen of England.	not_entailment
1400	John and Frances Galyean are partners in life and now both share a passion for photography. The Galyeans, married for more than 46 years, have been involved in photography since 1999.	John Galyean's wife is called Frances.	entailment
1401	The Sector 15A locality in Noida, India, which is considered an elite enclave of rich industrialists, bureaucrats and professionals was in for a shock when Anant Gupta, son of Adobe India CEO Naresh Gupta was abducted in broad daylight by two unidentified men on Monday. The Noida police was subsequently notified but they were unable to locate the motor-cycle used by the kidnappers as no one was able to take down the registration number of the vehicle. A number of raiding teams have been formed by the police to track down the offenders.	Anant Gupta was kidnapped in India.	entailment
1403	John Paul II  was the first non-Italian Pope in exactly 600 years, so other things being equal, his successor would presumably be Italian.	John Paul II is Italian.	not_entailment
1404	The Obama administration has told Chrysler it would provide as much as $6 billion in new financing, on top of the $4 billion in loans it has already given the company, if Chrysler could complete a deal by next Thursday with a cost structure that gives it a chance of survival. The creditors have, so far, balked at the terms suggested by the Treasury Department. But the negotiations have taken a new direction. Treasury now has an agreement in principle with the UAW, whose members' pensions and retiree health care benefits would be protected in the event of a bankruptcy filing, said the people with knowledge of the discussions. Moreover, under this scenario, Fiat would complete its alliance with Chrysler while the company is under bankruptcy protection.	Fiat wants to acquire some stakes in Chrysler.	not_entailment
1406	Desko's Orange beat Navy 1413 on Monday for the Division I title in men's lacrosse.	Desko's Orange beat Navy 14-13 on Monday for the Division I title in men's lacrosse.	not_entailment
1411	An explosion, followed by a raging fire, demolished a plastics factory, killing at least three people and injuring at least 37.	A massive blast at a plastics factory killed at least two people.	entailment
1413	Geithner criticized the report's findings on the World Bank, including a commission recommendation that the Bank stop lending to emerging market economies, concentrate its resources on the poorest countries and shift the IFI's concessional assistance from loans to grants.	The World Bank is criticized for activities.	not_entailment
1415	If you have an immediate problem with ice dams, you should remove the snow from the part of the roof directly above the ice dam. This limits the amount of water that can collect behind the dam.	Dam building prevents life-threatening situations.	not_entailment
1416	Victor Emmanuel III, 1869-1947, king of Italy (1900-1946), emperor of Ethiopia (1936-43), king of Albania (1939-43), son and successor of Humbert I.	Victor Emmanuel III was king of Italy from 1900 to 1946.	entailment
1421	Taliban have started to pull out of the Buner district in northwestern Pakistan in the light of successful talks among all stakeholders, local newspaper The News reported on Saturday. The administration of North West Frontier Province, Taliban and an outlawed group Tehrik Nifaz Shariat-e-Muhammadi (TNSM) Friday held successful talks in Batkhela to stave off a looming military operation, said the report. The Taliban holding Buner district eventually agreed to vacate the area along with their arms. Soon after the talks, the administration and Taliban representatives accompanied Maulana Sufi Muhammad, founding chief of TNSM to evict the militants from Buner in their presence.	Maulana Sufi Muhammad is the leader of Tehrik Nifaz Shariat-e-Muhammadi.	entailment
1422	Recent Dakosaurus research comes from a complete skull found in Argentina in 1996, studied by Diego Pol of Ohio State University, Zulma Gasparini of Argentinas National University of La Plata, and their colleagues.	A complete Dakosaurus was discovered by Diego Pol.	not_entailment
1424	Evan Wolfson, the founder of the modern gay marriage movement, tells the waiter he would like an iced decaf and "the usual." Wolfson, one of Time Magazine's Most Influential People in the World, is a man who unflinchingly knows what he wants and stays his course, whether it be in his choice of restaurant or in his choice of battle. And others always know when they see Evan coming what it is that he wants.	Time Magazine was created by Evan Wolfson.	not_entailment
1429	Two British destroyers struck Albanian-laid mines while exercising their rights passing through the Corfu Channel.	The Corfu Channel incident was about a British destroyer sunk by Albania in the Corfu Channel.	not_entailment
1431	Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded.	Juan Carlos Lecompte is the founder of the Green Oxygen Party.	not_entailment
1432	The human rights promotion and protection secretariat of the FMLN strongly condemns the massacre of five Spanish-born Jesuit priests, and three Salvadoran citizens, carried out by the Salvadoran Armed Forces Soldiers.	The Salvadoran Armed Forces Soldiers murdered three Salvadoran citizens.	entailment
1434	Oil prices, notoriously vulnerable to political events, spiked as high as $40 a barrel during the Gulf War in 1991.	The Gulf War was fought in 1991.	entailment
1435	Elizabeth Alexandra Mary was born on April 21, 1926 in London, England. Her father, Prince Albert, Duke of York, was the second son of King George V. Her mother, the former Elizabeth Bowes-Lyon, was the daughter of a Scottish earl. Princess Elizabeth was their first child. Her only sibling, Margaret Rose, was born in 1930.	Elizabeth the Second's father was George VI.	not_entailment
1443	The policy focused on coca eradication from the territories of Peru and Bolivia. During the years of 1996 and 2000, much of the resources of "Andean Initiative" where utilized in intense aerial fumigation in coca producing areas.	Peru debates border region with Ecuador.	not_entailment
1445	French police recovered five masterpieces stolen from Paris Museum last Summer including a small work by Renoir.	Five masterpieces, including a Renoir, were recovered when the thief confessed.	not_entailment
1447	iTunes software has seen strong sales in Europe.	Strong sales for iTunes in Europe.	entailment
1449	Loraine besides participating in Broadway's Dreamgirls, also participated in the Off-Broadway production of "Does A Tiger Have A Necktie". In 1999, Loraine went to London, United Kingdom. There she participated in the production of "RENT" where she was cast as "Mimi" the understudy.	"Does A Tiger Have A Necktie" was produced in London.	not_entailment
1450	The program will include Falla's "Night in the Gardens of Spain," Ravel's Piano Concerto in G, Berlioz's Overture to "Beatrice and Benedict," and Roy Harris' Symphony No. 3.	"Beatrice and Benedict" is an overture by Berlioz.	entailment
1451	Speaking outside the hospital moments after getting her child back, Ciancio said she was confident all along that the baby would be found.	Ciancio was hospitalized for speaking to the baby.	not_entailment
1454	Albert Sabin developed an oral, attenuated (live) vaccine, which, with Salk's discovery, brought polio under control.	Polio is under control in the world.	entailment
1455	Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.	Nokia produces mobile chips.	not_entailment
1457	Gemayel's assassination is almost certain to deepen the political crisis in Lebanon, which started after the resignation of six pro-Syrian ministers, two from Hezbollah, hours after all-party round table talks collapsed.	After the resignation of six pro-Syrian ministers a deep political crises started in Lebanon.	entailment
1458	The scientific community now generally agrees that between 5 and 8 million years ago, there lived in Africa a hominid which would ultimately give rise to the first hominids and later the members of the genus Homo.	Humans existed 10,000 years ago.	not_entailment
1460	A suicide attack is an attack in which the attacker or attackers intend to kill others and intend to die in the process (see suicide). In a suicide attack in the strict sense the attacker dies by the attack itself, for example in an explosion or crash caused by the attacker.	People were killed in Tamil suicide attacks.	not_entailment
1464	The seven refineries located in Lake Charles, La., and the Texas cities of Beaumont and Port Arthur, appear to be the ones hardest hit by the water and wind that accompanied Rita.	Rita caused damages to seven refineries located in Lake Charles, La.	entailment
1469	International observers are surprised at the attack, given the recent advances that the Sri Lanka army has made, driving the LTTE from their former territories. "It is very significant that the rebels have carried out such an audacious attack when the government say that they are all but finished," opined BBC's Sinhala Editor, Priyath Liyanage. "It confirms what many of us already knew ―the rebels may be experiencing reverses on the battle field but they are not simply just going to disappear."	LTTE stands for Liberation Tigers of Tamil Eelam.	not_entailment
1470	The main library at 101 E. Franklin St. changes its solo and group exhibitions monthly in the Gellman Room, the Second Floor Gallery, the Dooley Foyer and the Dooley Hall.	Dooley Foyer is located in Dooley Hall.	not_entailment
1471	Franz Liszt, a Hungarian composer who lived from 1811 to 1886 was the equivalent of a rock star in his day. His piano compositions were extremely popular and he often gave concerts to his multitude of fans. Liszt was also the pioneer of many musical techniques, including the symphonic poem and the technique of transforming themes.	Franz Liszt lived from 1811 to 1886.	entailment
1472	Mr Gregory's conclusion in 1994 was that the ceremony, transferred to the more convenient nearest Sunday, was dying out. However, that year the Conservative government proclaimed "festivities" to celebrate the 50th anniversary of the Normandy landings.	50th Anniversary of Normandy Landings lasts a year.	not_entailment
1476	The Dalai Lama has offered to send 50 trained teachers from the exile community to help the educational development of Tibet.	The Dalai Lama has been living in exile since 1950.	not_entailment
1477	World health officials warned yesterday that West Africa and Central Africa were on the verge of the worst polio outbreak in years, stemming from the refusal of a single state in northern Nigeria to vaccinate children against the disease.	African polio outbreak feared	entailment
1478	A Continental Connection flight from Newark to Buffalo crashed into a house about four to six miles from Buffalo Niagara International Airport on Thursday night, killing 50 people, officials said. Continental Airlines Flight 3407 is a daily commuter flight from Newark Liberty International Airport in Newark, New Jersey to Buffalo, New York, operated under the Continental Connection brand by Virginia-based regional airline Colgan Air.	A daily commuter flight crashed in New York.	entailment
1480	The Prince of Wales and  Bowles will marry on Friday, April 8, at Windsor Castle, said Clarence House, Charles' residence and office.	The Prince of Wales and Bowles will marry in a civil ceremony at Windsor Castle.	not_entailment
1483	Local media reported on Tuesday that a gold mine collapsed in northwestern Tanzania on Sunday, killing at least twenty people. According to reports, the incident occurred at Geita region when the 100-metre-deep shaft the miners were working in collapsed after being flooded by heavy seasonal rains. Some media reports say that thirty people might have been killed by the accident.  "I know there is no hope of finding anybody alive," said Kelega Chacha, a miner who left the site soon before the mine's collapse. "We will just have to look for the bodies to give them a decent burial."	Kelega Chacha died in the Geita region.	not_entailment
1487	Organic fertilizer slowly enriches and feeds the soil. Fast acting synthetic fertilizers harm soil life.	Organic fertilizers are used as soil enhancers.	entailment
1488	In the very same room in fall, 1992, George Bush prepped to debate Clinton and Ross Perot in practice sessions with Chief of Staff John H. Sununu.	Ross Perot ran for president in 1992.	not_entailment
1491	An audience of 8.3 million people watched rural soap, "Emmerdale", on Thursday, while a live episode of "The Bill" got 7.9 million viewers.	Hour-long special episodes of ITV soaps, "Emmerdale" and "The Bill", were the top-rated UK TV shows on the commercial channel's 50th anniversary.	not_entailment
1497	"From a research point of view, this is the first time we could identify what appears to be typical Parkinson's disease cases before people develop symptoms," says Mayo Clinic neuroscientist Matthew Farrer. "We know if someone inherits the mutation they are going to get Parkinson's disease." The mutation was discovered by sequencing the LRRK2 gene in families with Parkinson's from the US, Norway, Ireland and Poland.	A genetic mutation has been linked with Parkinson's disease.	entailment
1498	In 1997, Tyson bit off part of one of Evander Holyfield's ears in their rematch that led to Tyson's disqualification and suspension. In 2002, at a melee at a news conference in New York, Tyson bit champion Lennox Lewis' leg.	Tyson bit off part of one of Evander Holyfield's ears in 2002.	not_entailment
1499	As the storm passed, a celebratory mood took over the city until early Sunday morning, when rap mogul, Suge Knight, was targeted by gunfire at a Kanye West party.	The most notable happening occurred early Sunday morning, when rap-label owner, Marion "Suge" Knight, was shot in the leg at a Kanye West party.	not_entailment
1502	The blast observed on Dec. 27 came from a neutron star: a collapsed dead star with a sun-like mass squeezed into a sphere, just 15 miles across, in the constellation Sagittarius (the Archer).	The December burst came from a neutron star in the constellation Sagittarius.	entailment
1503	In a separate mass shooting on Saturday in Pittsburgh, a man donned a bulletproof vest and killed three police officers after he had been driven into a murderous rage by an argument with his mother over a dog.  According to court papers, Richard Poplawski — who had recently been dishonourably discharged from the US Marines — had been arguing with his mother about the dog urinating inside their home early on Saturday morning when she threatened to evict him. When the argument escalated, she called the police. By the time a patrol car turned up at after 7am, Mr Poplawski, 23, had armed himself with an assault rifle, a long-arm rifle, a pistol and several rounds of ammunition.	In Pittsburgh a man shot 3 policemen.	entailment
1504	The organisation reports that it has recently seen a significant rise in the number of complaints and some of these involve modem connections being redirected, unbeknown to the users.	Users were unaware of the modem connections' redirection.	entailment
1506	A small bronze bust of Spencer Tracy sold for £174,000.	A small bronze bust of Spencer Tracy made £174,000.	entailment
1507	During the Tiananmen Square protest of 1989, Chinese student demonstrators in Beijing built a 10-meter version of the Statue of Liberty to symbolize their struggle.	The Statue of Liberty was built in 1989.	not_entailment
1511	Lawyer David Gibbs pleaded with the appeals court to order Schiavo's feeding tube reinserted to give her parents a chance to make a complete argument before a federal court that her rights are being violated.	The appeals court was their last best chance to get that feeding tube reinserted into their daughter.	not_entailment
1512	Reagan was seriously wounded by a bullet fired by John Hinckley Jr. in an attempted assassination on March 30, 1981.	Reagan almost died on March 30, 1981, when would-be assassin John W. Hinckley Jr. shot him.	entailment
1513	The crisis took a sharp turn for the worse after the cabinet, without the Syrian-backed ministers, approved the UN draft document for creation of an international tribunal in the case of ex-Premier Rafik Hariri's killing.	The crisis worsened after the UN draft document for the creation of an international tribunal was approved.	entailment
1515	Recently of the Canadian Broadcasting Corporation (CBC), where he worked in media and public relations, Mr. Jay Walsh was announced as the replacement for Sandy Ordonez as the communications officer for the Wikimedia Foundation on an internal mailing list on Tuesday, 8 January. "I'm extremely grateful for [Sandy Ordonez's] hard work and excellent judgement," said Sue Gardner, Executive Director of Wikimedia Foundation, in her announcement. Ordonez managed the WMF's public and media relations from January 2007, and will stay on in Florida until the end of the month when the Tampa office is closed.	Sandy Ordonez was replaced by Jay Walsh.	entailment
1516	The cost for some 30 million sheets of paper used each year by Cal State Long Beach colleges and departments went up Wednesday for the first time in four years.	The cost of paper is rising.	entailment
1518	A former philosophy teacher whose best-known novel, Sophie's World, was a surprise international best-seller.	Sophie's World is a best seller.	entailment
1523	Crude oil dips below $43 on news that Russia's justice ministry will not force Yukos to halt sales.	Crude oil rises.	not_entailment
1524	The widow of John Lennon, Yoko Ono, may take legal action against a new breakfast cereal called "Strawberry Fields," which she believes is too close in name to Lennon's song.	Yoko Ono is John Lennon's widow.	entailment
1525	Tom Cruise has returned to The Oprah Winfrey Show and talked about his love for Katie Holmes, but this time he was denying marital problems instead of jumping on the couch to prove his passion for the young actress. "That's laughable to me," Cruise said when Winfrey told him there was speculation that "what you and Katie have is not real". It was the first time Cruise appeared on the show since his couch-hopping stunt three years ago drew a flood of satire and ridicule. "It was something that I just felt that way, and I feel that way about her. That's just how I felt," he said in the interview, which aired on Friday in the US.	Tom Cruise is married to Oprah Winfrey.	not_entailment
1528	The city retains its spotless streets, immaculate shops and nonexistent crime rate. Since the slowdown, only one manufacturing company has gone bankrupt, says the city's Chamber of Commerce and Industry, because Toyota spread out orders among many of the more than 400 auto parts factories in the city, to keep them afloat through hard times. Nonetheless, Toyota's downturn has rippled through the city's economy, idling many smaller auto-related suppliers, which also cut payrolls, mainly by refusing to renew the contracts of short-term workers. After losing their jobs, many of the city's 16,400 foreign residents, mostly ethnic Japanese from Brazil and Latin America, packed up and left, residents and city officials said.	Toyota Motor is located in Toyota City.	not_entailment
1531	A variety of devices could be powered selectively from a single-power source carried on the body via multiple power supply signals at different frequencies, according to the patent abstract.	The patent abstract shows a number of devices using a single source.	entailment
1532	Shelby Foote, author of the acclaimed three volume history of the American Civil War, The Civil War: A Narrative, died in Memphis on June 27 at age 88. Foote also wrote historical fiction, including Follow Me Down and Shiloh. He may be best known for his appearance in filmmaker Ken Burns' PBS documentary, The Civil War. The Modern Library ranked Foote's The Civil War: A Narrative as number 15 on its list of 100 best non-fiction books. He was commissioned to write a short history of the Civil War by Random House and spent more than 20 years on the work eventually producing the three volumes.	The Civil War: A Narrative is a book written by Shelby Foote.	entailment
1533	Drew Barrymore and Justin Long have been cast in a romantic comedy called Going the Distance. The New Line Cinema film is to be directed by documentary filmmaker Nanette Burstein, who made the films The Kid Stays in the Picture and American Teen. It will be Burstein's feature film debut. Going the Distance, written by New Line staffer Geoff LaTulippe, will focus on a couple dealing with challenges arising from a cross-country romance. Media reports did not indicate a release date had been determined.	Drew Barrymore is in a relationship with Justin Long.	not_entailment
1536	Last week, saw the fall of the Dutch right wing coalition government, made up of the Christian-democrats (CDA) led by Prime Minister Jan Peter Balkenende, the right wing liberal party (VVD) and the so-called left-liberal D66.	Three parties form a Dutch coalition government.	entailment
1539	Tintin, the Smurfs, Boule et Bill, Astérix, Natacha, Spirou and other legendary characters were created by talented artists like Hergé, Morris, Franquin and Walthéry.	Spirou was created by Rob-Vel.	not_entailment
1542	A charity today joined forces with Glasgow's new Lord Provost to launch a campaign to help the Russian city's twin. A convoy of aid is being sent to Rostov-on-Don next month by The Caring City Organisation.	Rostov-on-Don is a Russian city whose twin is Glasgow.	entailment
1543	He'll teach the new environmental engineering classes at Carroll as a full-time professor. The school said his position will be funded by a two-year grant from the U.S. Department of Education. While Weight couldn't be reached by phone this week, past studies have taken him to Lake Titicaca in Peru, where he studied mercury levels in the lake's fish. He authored the "Hydrology Field Manual," along with other professional journals. In the fall semester, Weight will begin teaching water quality, as well as a hands-on class in stream restoration. The following spring, he'll teach new classes in air quality and groundwater flow modeling.	Lake Titicaca is located in Peru.	entailment
1544	Jyestadeva (1500-1610), was an astronomer of the Kerala school founded by Madhava of Sangamagrama and a student of Damodara. He is most known for writing the first calculus text, the Yuktibhasa . He also authored the Drk-karana on astronomical observations.	Jyestadeva invented calculus.	not_entailment
1545	ET confirms that actor Bruce Willis has married his girlfriend of a year, model/actress Emma Heming.  A small, private wedding ceremony took place on Saturday at Willis' home in Parrot Cay, Turks & Caicos, a rep said.  In attendance were the 54-year-old actor's first wife, Demi Moore, and her husband Ashton Kutcher, as well as his daughters Rumer, Scout, and Tallulah Belle. The couple plans to hold a civil ceremony when they return to California.	Bruce Willis' wife is from California.	not_entailment
1546	Bush and his wife, Laura, departed the White House on Thursday afternoon to spend four days at the wooded presidential retreat of rustic cabins in the Maryland mountains. Along with the first lady's mother, Jenna Welch, the weekend gathering includes the president's parents, former President George H.W. Bush and his wife, Barbara; his sister Doro Koch and her husband, Bobby; and his brother, Marvin, and his wife, Margaret.	The name of George H.W. Bush's wife is Barbara.	entailment
1549	In June 1971 cosmonauts Georgi Dobrovolski, Vladislav Volkov, and Viktor Patsayev occupied Salyut for 23 days, setting a new record for the longest human spaceflight.	23 days is the record for the longest stay in space by a human.	entailment
1550	The galaxy, measuring just 2,000 light-years across, is a fraction of the size of our own Milky Way, which stretches 100,000 light-years in diameter.	The Milky Way measures 2,000 light-years across.	not_entailment
1551	Martin was given water to drink, then taken to New Orleans Ochsner Foundation Hospital, where nurse Jinny Resor said he was treated for dehydration.	Ochsner Foundation Hospital is located in New Orleans.	entailment
1552	India, an enchanting country situated in the southern central peninsula of the Asian continent, covers over 3.28 million square kilometers.	India is on the Asian continent.	entailment
1553	Former Prime Minister Rafik Hariri, also a prominent anti-Syria political figure, was killed in a suicide bombing in February last year, which led to rising anti-Syrian waves and the withdrawal of Syrian troops from Lebanon.	Syrian troops have been withdrawn from Lebanon after the murder of Rafik Hariri.	entailment
1554	Heemeyer equipped an old bulldozer with three television cameras and monitors so he could see to steer.	Heemeyer had installed television cameras connected to three monitors so he could see where he was going.	entailment
1558	Professional computer hackers from the secret services were brought into attempt to hack into the Government's internal secure communicationssystem, which was launched today.	Non-authorized personnel illegally entered into computer networks.	not_entailment
1560	President Chirac has been advised that his resumption of nuclear testing would precipitate an international boycott of French products.	International pressure is exerted to end French nuclear tests.	entailment
1563	Now GMFanuc Robotics has perfected a robotic solution that is three times faster than manual spraying, can reproduce a spray pattern to an accuracy of 0.03 inch, and can be programmed easily to handle a wide range of garments.	Robots are used to spray dye on garments.	entailment
1564	Comdex -- once among the world's largest trade shows, the launching pad for new computer and software products, and a Las Vegas fixture for 20 years -- has been canceled for this year.	Comdex launches trade shows for 20 years.	not_entailment
1570	Brad Pitt is causing havoc on his school run. The handsome actor has been spotted taking his kids to school in New York, causing local mothers to fight over who drives all their children in the mornings, in the hope of meeting the star. A source said: "Moms are fighting over who gets to carpool the kids to school. They are all dressing up and are desperate to meet him." Brad, 45, has taken on the duty of driving adopted boys Maddox, eight, and Pax, five, to class while his partner Angelina Jolie shoots her latest film 'Salt'. The couple also raise four other children, adopted daughter Zahara, four, and their naturally conceived children Shiloh, two, and eight-month-old twins Vivienne and Knox.	Brad Pitt is 45 years old.	entailment
1572	The Statue of Liberty was reopened to the public on July 5 after its extensive refurbishing. 1986 is a common year starting on Wednesday of the Gregorian calendar.	The Statute of Liberty was built in 1986.	not_entailment
1575	Mental health problems in children and adolescents are on the rise, the British Medical Association has warned, and services are ill-equipped to cope.	Mental health problems increase in the young.	entailment
1576	Philippine President Gloria Macapagal Arroyo, Singapore's Prime Minister Lee Hsien Loong, Brunei's Sultan Hassanal Bolkiah, Indonesian Vice President Jusuf Kalla and Thai Deputy Prime Minister Surakiart Sathirathai were among foreign dignitaries flying in for Endon's funeral later Thursday. Thousands of people filed past Endon's body, which lay in state wrapped in white linen on a table while Muslim clerics recited verses from the Quran.	Lee Hsien Loong is friends with Gloria Macapagal Arroyo.	not_entailment
1578	In Britain, they channel their energies into gardening and riding. In Holland, they travel by bicycle to prove that they are of the people. But, conforming to a national stereotype, the Italian royal family, exiled from their homeland for 60 years, prefer fast cars and beautiful women.	Italian royal family returns home.	not_entailment
1579	No case of indigenously acquired rabies infection has been confirmed in man or any animal species during the past 2 years.	A case of rabies was confirmed.	not_entailment
